From,To,Species,Gene Name
FBgn0041164,38427,Drosophila melanogaster,armitage(armi)
FBgn0037529,40932,Drosophila melanogaster,mitochondrial ribosomal protein S9(mRpS9)
FBgn0000406,35008,Drosophila melanogaster,Cytochrome b5-related(Cyt-b5-r)
FBgn0031068,32991,Drosophila melanogaster,Augmenter of liver regeneration(Alr)
FBgn0037232,40543,Drosophila melanogaster,CG9791 gene product from transcript CG9791-RD(CG9791)
FBgn0031264,33232,Drosophila melanogaster,CG11835 gene product from transcript CG11835-RD(CG11835)
FBgn0037526,40929,Drosophila melanogaster,CG10092 gene product from transcript CG10092-RB(CG10092)
FBgn0265178,36795,Drosophila melanogaster,CG44243 gene product from transcript CG44243-RA(CG44243)
FBgn0013432,31186,Drosophila melanogaster,CG3717 gene product from transcript CG3717-RA(bcn92)
FBgn0032205,34374,Drosophila melanogaster,CG4957 gene product from transcript CG4957-RA(CG4957)
FBgn0040064,34313,Drosophila melanogaster,yippee interacting protein 2(yip2)
FBgn0039205,42926,Drosophila melanogaster,CG13623 gene product from transcript CG13623-RA(CG13623)
FBgn0030612,32441,Drosophila melanogaster,CG5599 gene product from transcript CG5599-RA(CG5599)
FBgn0004087,42003,Drosophila melanogaster,Dihydrofolate reductase(Dhfr)
FBgn0261625,36396,Drosophila melanogaster,Glutaminase(GLS)
FBgn0028499,42178,Drosophila melanogaster,CG7985 gene product from transcript CG7985-RB(CG7985)
FBgn0031247,33200,Drosophila melanogaster,CG11562 gene product from transcript CG11562-RA(CG11562)
FBgn0031359,33350,Drosophila melanogaster,Rim2 ortholog (S. cerevisiae)(Rim2)
FBgn0003312,44858,Drosophila melanogaster,shadow(sad)
FBgn0038649,42254,Drosophila melanogaster,CG7718 gene product from transcript CG7718-RA(CG7718)
FBgn0037643,41067,Drosophila melanogaster,skpA associated protein(skap)
FBgn0024957,41269,Drosophila melanogaster,Iron regulatory protein 1B(Irp-1B)
FBgn0024958,42689,Drosophila melanogaster,Iron regulatory protein 1A(Irp-1A)
FBgn0037251,40565,Drosophila melanogaster,CG9804 gene product from transcript CG9804-RA(CG9804)
FBgn0037646,41070,Drosophila melanogaster,Carbonic anhydrase beta(CAHbeta)
FBgn0039115,42811,Drosophila melanogaster,CG10214 gene product from transcript CG10214-RA(CG10214)
FBgn0031240,33192,Drosophila melanogaster,CG3345 gene product from transcript CG3345-RA(CG3345)
FBgn0262619,37791,Drosophila melanogaster,DNA ligase I(DNA-ligI)
FBgn0029722,31407,Drosophila melanogaster,CG7024 gene product from transcript CG7024-RA(CG7024)
FBgn0011455,46260,Drosophila melanogaster,NADH dehydrogenase (ubiquinone) SGDH subunit(ND-SGDH)
FBgn0039111,42807,Drosophila melanogaster,PTEN-like phosphatase(Plip)
FBgn0031659,33714,Drosophila melanogaster,CG14043 gene product from transcript CG14043-RA(CG14043)
FBgn0035088,37996,Drosophila melanogaster,CG3776 gene product from transcript CG3776-RB(CG3776)
FBgn0029158,40259,Drosophila melanogaster,Lipoic acid synthase(Las)
FBgn0036999,40270,Drosophila melanogaster,iso Glutaminyl cyclase(isoQC)
FBgn0039153,42861,Drosophila melanogaster,CG5463 gene product from transcript CG5463-RA(CG5463)
FBgn0003891,37417,Drosophila melanogaster,tudor(tud)
FBgn0039846,43710,Drosophila melanogaster,CG11337 gene product from transcript CG11337-RD(CG11337)
FBgn0025592,43913,Drosophila melanogaster,Glycerol kinase(Gyk)
FBgn0029153,3772692,Drosophila melanogaster,Malic enzyme like-2(Menl-2)
FBgn0029155,43936,Drosophila melanogaster,Malic enzyme b(Men-b)
FBgn0034472,37268,Drosophila melanogaster,CG8517 gene product from transcript CG8517-RA(CG8517)
FBgn0029154,3772542,Drosophila melanogaster,Malic enzyme like-1(Menl-1)
FBgn0261266,34609,Drosophila melanogaster,zucchini(zuc)
FBgn0033761,36392,Drosophila melanogaster,CG8778 gene product from transcript CG8778-RA(CG8778)
FBgn0001098,42832,Drosophila melanogaster,Glutamate dehydrogenase(Gdh)
FBgn0083968,4379884,Drosophila melanogaster,CG34132 gene product from transcript CG34132-RA(CG34132)
FBgn0036334,39476,Drosophila melanogaster,CG11267 gene product from transcript CG11267-RA(CG11267)
FBgn0010501,37729,Drosophila melanogaster,Death caspase-1(Dcp-1)
FBgn0034087,36793,Drosophila melanogaster,clueless(clu)
FBgn0032603,35009,Drosophila melanogaster,CG17928 gene product from transcript CG17928-RA(CG17928)
FBgn0043799,192528,Drosophila melanogaster,CG31381 gene product from transcript CG31381-RA(CG31381)
FBgn0264740,19836181,Drosophila melanogaster,CG43998 gene product from transcript CG43998-RB(CG43998)
FBgn0264741,42827,Drosophila melanogaster,CG43999 gene product from transcript CG43999-RC(CG43999)
FBgn0039856,43722,Drosophila melanogaster,CG1774 gene product from transcript CG1774-RA(CG1774)
FBgn0033879,36536,Drosophila melanogaster,CG6543 gene product from transcript CG6543-RA(CG6543)
FBgn0033086,35568,Drosophila melanogaster,CG9410 gene product from transcript CG9410-RA(CG9410)
FBgn0011361,38154,Drosophila melanogaster,NADH dehydrogenase (ubiquinone) acyl carrier protein(ND-ACP)
FBgn0028962,38595,Drosophila melanogaster,mitochondrial alanyl-tRNA synthetase(Aats-ala-m)
FBgn0261276,36578,Drosophila melanogaster,Optic atrophy 1 ortholog (H. sapiens)(Opa1)
FBgn0039854,43720,Drosophila melanogaster,CG1635 gene product from transcript CG1635-RA(CG1635)
FBgn0026741,36406,Drosophila melanogaster,mitochondrial ribosomal protein L18(mRpL18)
FBgn0039855,43721,Drosophila melanogaster,CG1638 gene product from transcript CG1638-RB(CG1638)
FBgn0037008,40279,Drosophila melanogaster,CG5047 gene product from transcript CG5047-RA(mTerf3)
FBgn0010100,44149,Drosophila melanogaster,Aconitase(Acon)
FBgn0260779,42283,Drosophila melanogaster,"Glutamyl-tRNA(Gln) amidotransferase, subunit A(GatA)"
