"ID","sM1","sM2","sM3","sM4","AveExpr","F","P.Value","adj.P.Val"
"1635492_at",0.0371680657499969,-0.200479774999996,0.264100495999999,-0.0463885530000052,7.307012485325,14.2428428326907,2.90282568748421e-06,0.000342696206395332
"1636963_at",0.00530541075000457,0.17985607050001,0.151830780250005,-0.109651184500002,7.855669057325,14.0457772793206,3.27147920730131e-06,0.000380046450895423
"1630422_at",0.184602648499999,-0.134095282249993,0.288756480500001,0.0911233802499991,7.8288541613,14.0418224231103,3.27937485335664e-06,0.000380046450895423
"1632248_s_at",0.445302490000003,0.531681630000012,0.452966522500009,0.3324236025,12.39576757375,13.9809848266006,3.40345343770227e-06,0.00039084021659141
"1635953_at",0.0704397964999992,-0.193628931749994,0.152817327250001,-0.0113402535000011,7.031874615225,13.8797650580491,3.62122932142743e-06,0.000412102421515958
"1639819_at",-0.0656135222499996,0.304547446750009,-0.0749995929999985,-0.0860482054999983,7.179861943025,13.8385879991656,3.71407338482569e-06,0.000418894419617126
"1640609_at",0.19183064,-0.191348052249993,0.184449455500004,0.100071591249999,7.4350568158,13.8127944562228,3.77353426044506e-06,0.000421834378565859
"1634882_at",0.0549748850000071,-0.13955161749999,0.206525765000006,0.101767454999997,9.735675476125,13.7863820241793,3.8354850071352e-06,0.000424998654474841
"1635671_at",-0.0196741312500022,-0.144010746249996,0.25766060825,-0.00966958875000667,7.47571100415,13.7142090833176,4.01041829462611e-06,0.000440518294762756
"1627080_at",0.519358221500003,0.585085042750009,-0.000974008749993871,0.37676215125,7.9506470251,13.634890671766,4.2126266320353e-06,0.000453057104805476
"1629208_at",-0.0047774750000027,-0.0750500549999931,0.262001592500004,0.0533622999999945,9.3567342862,13.6313875920513,4.22180649818807e-06,0.000453057104805476
"1632491_at",0.116526227499999,-0.117350376999995,0.215607635000004,0.00912894749999804,7.4066860152,13.6274436647563,4.23216738181176e-06,0.000453057104805476
"1637873_at",-0.0647907714999967,0.29139594750001,0.0632697050000033,-0.110016850000001,8.400410263225,13.516659518693,4.53467651290645e-06,0.000481361627823817
"1628598_s_at",0.1862314855,0.0185125722500086,0.203582066750005,0.0889630529999987,9.7590884818,13.4481951621748,4.73320399132181e-06,0.000498248606819809
"1624414_at",0.10185656575,-0.0315089817499965,0.337492270499999,0.0772567602499956,7.410948952575,13.3865480731782,4.91997973797483e-06,0.000513629620248744
"1630528_at",0.133071796749999,0.302221927000006,0.00224648225000212,0.178253789249998,6.93193156835,13.3528080931573,5.02554951522249e-06,0.000520350339969595
"1641635_s_at",0.257705414250004,0.224614947000012,0.251111876500008,0.215780219000002,9.61772915045,13.2490269705085,5.36584374981823e-06,0.000551067790631739
