Accession,Glean.Accession,Annotation.symbol,FlyBase.ID,CG.ID,MF.Ratio,P.value
GLEAN_14407,GLEAN_14407,GA10210,FBgn0070269,CG10274,0.945769158,0.00000216
GLEAN_02246,GLEAN_02246,GA10211,FBgn0070270,CG10275,1.009016663,0.096974
GLEAN_03854,GLEAN_03854,GA10212,FBgn0070271,CG10277,0.975673264,0.00000764
GLEAN_03476,GLEAN_03476,GA10213,FBgn0070272,CG10278,1.070808132,7.06E-12
GLEAN_06256,GLEAN_06256,GA10214,FBgn0070273,CG10279,0.341391726,6.68E-12
GLEAN_03850,GLEAN_03850,GA10220,FBgn0070279,CG10286,0.889089155,2.00E-15
GLEAN_15531,GLEAN_15531,GA10222,FBgn0070281,CG10289,0.897012503,3.40E-13
GLEAN_04099,GLEAN_04099,GA10223,FBgn0070282,CG10293,0.798519752,0
GLEAN_03849,GLEAN_03849,GA10224,FBgn0070283,CG10295,0.928066442,0.28170664
GLEAN_04154,GLEAN_04154,GA10227,FBgn0070286,CG10298,1.731113119,0
GLEAN_05435,GLEAN_05435,GA10229,FBgn0070287,CG10300,1.029904095,0.00036528
GLEAN_02730,GLEAN_02730,GA10231,FBgn0070289,CG10302,0.610134832,0
GLEAN_02732,GLEAN_02732,GA10233,FBgn0070291,CG10305,0.592546385,0
GLEAN_17234,GLEAN_17234,GA10235,FBgn0070293,CG10307,2.860564749,0
GLEAN_03723,GLEAN_03723,GA10237,FBgn0070295,CG10309,0.923830447,9.65E-12
GLEAN_06666,GLEAN_06666,GA10238,FBgn0070296,CG10311,1.098778053,0.000000299
GLEAN_16756,GLEAN_16756,GA10239,FBgn0070297,CG10315,0.598490395,0
GLEAN_06663,GLEAN_06663,GA10240,FBgn0070298,CG10317,2.087245067,0
GLEAN_17231,GLEAN_17231,GA10241,FBgn0070299,CG10318,0.657516954,0
GLEAN_17228,GLEAN_17228,GA10242,FBgn0070300,CG10320,1.396194564,3.83E-11
GLEAN_17226,GLEAN_17226,GA10243,FBgn0070301,CG10321,0.927037754,1.00E-14
GLEAN_04021,GLEAN_04021,GA10244,FBgn0070302,CG10324,0.755917136,0
GLEAN_06341,GLEAN_06341,GA10246,FBgn0070304,CG10326,0.78002918,1.00E-15
GA10247,,GA10247,FBgn0070305,CG10327,0.875209316,0.00000301
GLEAN_07436,GLEAN_07436,GA10247,FBgn0070305,CG10327,0.814338209,4.92E-11
GLEAN_02687,GLEAN_02687,GA10248,FBgn0070306,CG10333,0.766522476,0
GLEAN_03560,GLEAN_03560,GA10248,FBgn0070306,CG10333,0.843991281,0
GLEAN_14784,GLEAN_14784,GA10250,FBgn0070308,CG10335,0.667157827,0
GLEAN_02949,GLEAN_02949,GA10251,FBgn0070309,CG10336,0.670914114,0
GLEAN_19589,GLEAN_19589,GA10252,FBgn0070310,CG10337,0.890878134,0
GLEAN_02950,GLEAN_02950,GA10253,FBgn0070311,CG10338,0.960861234,8.70E-10
GLEAN_16855,GLEAN_16855,GA10254,FBgn0070312,CG10339,1.027123742,0.000000066
GLEAN_02951,GLEAN_02951,GA10257,FBgn0070315,CG10341,0.761122197,0
GLEAN_04841,GLEAN_04841,GA10258,FBgn0070316,CG10342,1.074898175,2.01E-11
GLEAN_02952,GLEAN_02952,GA10259,FBgn0070317,CG10343,0.8933516,3.31E-10
GLEAN_16765,GLEAN_16765,GA10260,FBgn0070318,CG10344,0.859875682,0
GLEAN_05568,GLEAN_05568,GA10261,FBgn0070319,CG10345,1.047928293,0.01111663
GLEAN_03077,GLEAN_03077,GA10262,FBgn0070320,CG10346,0.60667678,0
GLEAN_00510,GLEAN_00510,GA10263,FBgn0070321,CG10347,0.73877144,0
GLEAN_01076,GLEAN_01076,GA10267,FBgn0070325,CG10353,1.046411282,0.00012387
GLEAN_08413,GLEAN_08413,GA10268,FBgn0070326,CG10354,0.692266769,1.96E-12
GLEAN_19345,GLEAN_19345,GA10271,FBgn0070329,CG10360,1.317132058,1.09E-12
GLEAN_09632,GLEAN_09632,GA10272,FBgn0070330,CG10361,1.140526525,4.51E-13
GLEAN_01353,GLEAN_01353,GA10273,FBgn0070331,CG10362,1.036492732,0.000000275
GLEAN_19346,GLEAN_19346,GA10274,FBgn0070332,CG10363,1.229353652,8.07E-10
GLEAN_08318,GLEAN_08318,GA10275,FBgn0070333,CG10364,0.475230719,0
