ID,logFC,AveExpr,t,P.Value,adj.P.Val,Symbol,Chromosome,GenBank,Gene
1633183_at,0.137998527,3.950172147,3.555546512,0.001977443,0.027844719,CG13134,2L,CG13134-RA,34343
1626908_at,0.310695317,4.554656861,3.555461271,0.001977834,0.027844719,CG8066,3R,CG8066-RA,41766
1626077_s_at,-0.120221632,6.642008047,-3.551873541,0.001994376,0.028013422,CG11870,3R,CG11870-RB,41256
1624074_at,0.287802196,7.917931301,3.551493267,0.001996138,0.028013422,Obp56a,2R,CG11797-RA,37264
1641279_at,0.133520002,10.3599314,3.551414609,0.001996502,0.028013422,ben,X,CG18319-RA,32358
1633011_at,0.195817034,8.423371271,3.550546569,0.002000529,0.02802187,crp,2L,CG7664-RA,34956
1634672_at,-0.086504267,10.82836982,-3.54965023,0.002004696,0.02802187,Srp68,3L,CG5064-RA,39028
1636168_s_at,0.212720808,6.668884091,3.549485011,0.002005465,0.02802187,CG13101,2L,CG13101-RA,34221
1636740_at,-0.157531524,10.99360854,-3.549365772,0.00200602,0.02802187,Fdh,3R,CG6598-RA,41311
1637027_s_at,-0.124492668,8.949276703,-3.54867703,0.00200923,0.028023743,CG10165,2L,CG10165-RA,35242
1629014_s_at,-0.091426953,9.713270032,-3.548380651,0.002010612,0.028023743,CG2604,3R,CG2604-RC,40623
1625245_at,-0.231586055,6.220407212,-3.546510744,0.002019357,0.028114465,CG3759,2L,CG3759-RA,34258
1637620_s_at,-0.111876762,10.10253139,-3.543502496,0.002033505,0.028272148,CG9186,3L,CG9186-RB,38150
1634859_at,0.181259699,8.776023018,3.54279925,0.002036827,0.028272148,r2d2,2L,CG7138-RA,34066
1623434_at,-0.100294832,10.63270257,-3.54267169,0.00203743,0.028272148,CG3702,2L,CG3702-RA,33628
1630063_a_at,-0.1055294,12.2820517,-3.541711348,0.002041975,0.028303985,eIF-3p66,3R,CG10161-RA,42789
1624953_at,-0.149141276,7.493678964,-3.538825868,0.002055694,0.028462754,Cyp12c1,3L,CG4120-RA,40037
1637113_s_at,-0.166319114,8.424859093,-3.537291192,0.002063027,0.028532865,abba,2R,CG15105-RB,37190
1632590_at,0.197579569,6.859051303,3.534670336,0.00207561,0.028675348,CG31320,3R,CG31320-RA,318680
1630814_s_at,-0.122872986,9.052041863,-3.532652702,0.002085348,0.028778263,CG10353,X,CG10353-RA,32148
1624549_at,0.156160919,12.18136437,3.531724199,0.002089845,0.028808694,CG3523,2L,CG3523-RA,33524
1631676_at,0.19451821,6.146733928,3.529477788,0.002100763,0.028918932,CG4467,3R,CG4467-RA,42747
1624288_at,0.159541309,5.812416329,3.529133422,0.002102442,0.028918932,CG10654,3L,CG10654-RA,39428
1631456_at,-0.11966729,9.568971644,-3.52694621,0.002113136,0.029034252,CG6812,3L,CG6812-RA,40080
1630085_s_at,-0.152666989,5.354346878,-3.524686848,0.002124238,0.029154933,Peritrophin-A,X,CG17058-RA,33023
1625945_a_at,0.103212654,8.51009506,3.519401514,0.002150435,0.029482293,CG1233,3L,CG1233-RB,38063
1638541_at,-0.109541714,9.621616689,-3.518205993,0.002156404,0.029531931,mRpL32,3R,CG12220-RA,43698
1630258_at,-0.304379142,6.77819786,-3.516473982,0.002165081,0.029618503,GstD2,3R,CG4181-RA,48335
1636206_at,-0.075381322,12.97283173,-3.514617451,0.002174421,0.029713934,CG17737,3L,CG17737-RA,38398
1630701_at,-0.093626042,9.412001479,-3.513971325,0.002177681,0.029726167,CG10778,X,CG10778-RA,31708
1640236_at,-0.151156165,7.204538154,-3.510910491,0.002193188,0.029905376,CG4325,X,CG4325-RA,31167
1626638_at,0.319924497,6.844525734,3.509942847,0.002198113,0.029940058,escl,2L,CG5202-RA,34611
1625334_at,-0.149137626,11.06293086,-3.509323367,0.002201271,0.029950633,Npc2a,2L,CG7291-RA,33374
1631891_at,-0.1244745,7.244182313,-3.507479404,0.0022107,0.030046402,CG6488,2L,CG6488-RA,34571
1627657_at,0.152025873,10.13695271,3.506038214,0.002218097,0.030098648,CG16749,3R,CG16749-RA,41111
1636804_at,-0.190212524,10.27408655,-3.505797964,0.002219332,0.030098648,CG14629,X,CG14629-RA,31055
1632515_a_at,0.111364983,8.522648322,3.502725478,0.002235192,0.030281071,CG18619,2L,CG18619-RA,34371
1641317_at,0.100660314,9.816381978,3.502196965,0.002237931,0.030285546,squ,2L,HDC02844,2768920
1636266_at,-0.12182036,7.172741936,-3.498510242,0.002257132,0.030512539,psh,X,CG6367-RA,32832
1640485_at,-0.110004772,7.602202249,-3.496540641,0.002267456,0.030593186,CG7616,3L,CG7616-RA,39260
1628890_at,0.141365506,6.91909588,3.496443848,0.002267964,0.030593186,CG11873,3R,CG11873-RA,43435
1632775_at,-0.223064434,6.933067352,-3.495781616,0.002271447,0.030607275,CG42254,2R,CG12854-RA,36644
1639157_at,-0.365179448,7.386081057,-3.494684112,0.00227723,0.030607275,CG6765,3L,CG6765-RA,38971
1628815_at,0.106208308,9.677293058,3.49444617,0.002278486,0.030607275,sl,X,CG4200-RA,32601
1636793_at,-0.142690045,7.520488359,-3.494396607,0.002278747,0.030607275,Cyp4d2,X,CG3466-RA,31192
1637644_at,-0.36195501,5.62064495,-3.490081899,0.002301638,0.030881742,CG13813,3L,CG13813-RA,40218
1633206_at,-0.186843834,7.182759791,-3.489128881,0.002306724,0.030916993,CG9780,3R,CG9780-RA,40540
1636788_a_at,-0.090835004,8.58450306,-3.488660701,0.002309227,0.030917577,loqs,2L,CG6866-RA,34751
1633501_s_at,0.204460803,9.454597961,3.48473744,0.002330306,0.031166599,tws,3R,CG6235-RA,47877
1636766_at,-0.115291984,10.03419139,-3.483431759,0.002337363,0.031210883,Ent2,2L,CG31911-RA,33921
1640582_at,0.074633641,9.201798947,3.483206561,0.002338582,0.031210883,CG3529,3L,CG3529-RB,39093
1632574_at,-0.156049215,7.570866195,-3.481901857,0.002345658,0.031272126,CG6574,3R,CG6574-RA,41308
1629678_a_at,-0.179677133,5.247980208,-3.480397732,0.002353842,0.031347991,Aplip1,3L,CG1200-RA,53472
1634241_at,-0.108468816,8.474914085,-3.478100014,0.002366398,0.031481863,CG4860,3R,CG4860-RA,41480
1626393_at,-0.098197653,8.139666953,-3.476519331,0.002375074,0.031563886,CG8078,2R,CG8078-RA,35920
1640334_at,0.305662518,7.622233313,3.475032401,0.002383265,0.031639284,CG33178,X,CG33178-RA,318913
1636488_at,-0.204525503,7.261591423,-3.474471304,0.002386362,0.03164699,CG4468,3R,CG4468-RA,42373
1624541_at,0.170484646,8.768540228,3.470251383,0.002409787,0.031923967,RhoGAP19D,X,CG1412-RA,33048
1637538_s_at,0.101250698,9.841578324,3.468992635,0.002416818,0.031983409,CG9485,2R,CG9485-RA,37435
1640957_at,-0.134042148,8.561651213,-3.464027344,0.00244475,0.032315403,Hexo2,X,CG1787-RA,31808
